file_id,hest_cohort,disease,platform,n_in_tissue_spots,total_raw_counts,prame_raw_count,prame_tpm_pseudobulk
NCBI491,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,913,9264034,0,0.0
NCBI490,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,617,446231,0,0.0
NCBI489,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,585,679701,0,0.0
NCBI488,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1021,5873368,0,0.0
NCBI487,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1014,4245034,0,0.0
NCBI486,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,305,1443493,0,0.0
NCBI485,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,545,2146796,0,0.0
NCBI484,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,713,3519737,2,0.5682242735749858
NCBI483,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,923,3765271,3,0.7967553995449465
NCBI482,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,625,1438737,0,0.0
NCBI481,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,651,1729572,0,0.0
NCBI480,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,695,5987919,0,0.0
NCBI479,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1040,8870277,4,0.450944203884501
NCBI478,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,790,2225142,0,0.0
NCBI477,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,791,1563868,0,0.0
NCBI476,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1144,4970420,1,0.20119024146852782
NCBI475,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1414,6686569,0,0.0
NCBI474,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,598,738422,0,0.0
NCBI473,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,744,422422,0,0.0
NCBI472,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1122,13046660,0,0.0
NCBI471,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1117,8378001,0,0.0
NCBI470,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1350,4945612,1,0.20219944467944514
NCBI469,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1504,5490636,2,0.3642565269305778
NCBI468,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1964,29249344,2,0.06837760190450767
NCBI467,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1906,29458018,2,0.0678932302913251
NCBI466,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,691,2311770,2,0.8651379678774272
NCBI465,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,736,1600795,2,1.2493792147026945
NCBI464,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1979,34641956,3,0.0866001908206338
NCBI463,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1253,30069846,4,0.13302362772326803
NCBI462,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,2043,11036908,3,0.27181525840389353
NCBI461,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1987,40800400,7,0.1715669454221037
NCBI460,Spatial transcriptomics landscape of non-communicable inflammatory skin diseases,Diseased,Visium,1951,1181968,0,0.0
